Tabelle 1
Label	Energie (kcal/mol)
[H][O][O][S][O]{0,2} => [H][O][S][O][O]{0,2}	1.30
[H][O][O][S]([H])[O]{0,1} => [H][O][S]([H])[O][O]{0,1}	1.11
[H][O][O][H]{0,1} + [H][O][O]{0,2} => [H][O][O][H]{0,1} + [H][O][O]{0,2}	46.10
[H][O][O]{0,2} + [H][O][S]{0,2} => [H][O][S][H]{0,1} + [O][O]{0,1}	14.93
[H][O][O][S][H]{0,1} => [H][O][O]{0,2} + [H][S]{0,2}	23.16
[H][O][O][H]{0,1} + [H][S]{0,2} => [H][O][O]{0,2} + [H][S][H]{0,1}	14.49
[H][O][O][O][S][O][O]{0,2} => [H][O][O][O][S]{0,2} + [O][O]{0,3}	5.25
[H][O][S][O]{0,2} => [H][S]([O])[O]{0,2}	24.41
[H][O][O][H]{0,1} + [H][S]{0,2} => [H][O][S][H]{0,1} + [H][O]{0,2}	18.44
[H][O][O][S][O]{0,2} + [O][O]{0,1} => [H][O][O][S]([O])[O][O]{0,2}	2.77
[H][O]([H])[H]{0,2} => [H][O][H]{0,1} + [H]{0,2}	0.00
[H][O][O][S][O][O]{0,2} => [H][O][O][S][O]{0,2} + [O]{0,1}	1.82
[O][S][O]{0,1} + [O]{0,3} => [O][S]([O])[O]{0,3}	4.69
[H][O][O][O][H]{0,1} + [O][S]{0,3} => [H][O][O][O]{0,2} + [H][O][S]{0,2}	24.83
[H][O][H]{0,1} + [H][O][O][S][O]{0,2} => [H][O][H]{0,1} + [H][O][S][O][O]{0,2}	10.37
[O][O][S][O]{0,1} + [H][O][O]{0,2} => [H][O][O]{0,2} + [O][O]{0,1} + [O][S]{0,3}	3.05
[H][S][O][O]{0,2} => [H][S][O]{0,2} + [O]{0,1}	2.62
[H][O][O][S]([O])[O]{0,2} => [H][O][O][S][O][O]{0,2}	39.05
[H][O][H]{0,1} + [H][O][S]{0,2} => [H][O][H]{0,1} + [O][S][H]{0,2}	38.40
[H][O][H]{0,1} + [H][O][S]([O])[O]{0,2} => [H][O][S]([O])[O][H]{0,1} + [H][O]{0,2}	8.90
[H][O][O][S][O]{0,2} => [H][O]{0,2} + [O][S][O]{0,1}	11.76
[H][O][H]{0,1} + [H][O][S]{0,2} => [H][O][H]{0,1} + [H][S][O]{0,2}	15.10
[H][O][O][O][O]{0,2} => [H][O][O]{0,2} + [O][O]{0,1}	0.00
[H][O][O]{0,2} + [H][O][S]{0,2} => [H][O][S][H]{0,1} + [O][O]{0,3}	13.65
[O][O][S][O]{0,3} => [O][O]{0,3} + [O][S]{0,1}	2.25
[H][O][O][S][O][O]{0,2} => [O][O][S][O]{0,1} + [H][O]{0,2}	8.72
[O][O][S][O]{0,1} => [O]{0,3} + [O][S][O]{0,1}	22.86
[O][O][S]([O])[O][O][H]{0,2} => [H][O][O]{0,2} + [O][O][S][O]{0,1}	0.00
[H][O]{0,2} + [H][O][H]{0,1} + [O][S][O]{0,1} => [H][O][H]{0,1} + [H][O][O][S][O]{0,2}	14.33
[O][O][O][S][O]{0,1} => [O][O][S][O][O]{0,1}	8.88
[O][S][O]{0,1} + [H][O]{0,2} + [H][O][H]{0,1} => [O][S]([O][H])[O]{0,1} + [H][O][H]{0,1}	2.55
[H][O][H]{0,1} + [H][O]{0,2} + [O][S][O]{0,1} => [H][O][O]{0,2} + [H][O][S][O][H]{0,1}	40.24
